UT,PY,AU
ISI:000071119900012,1997,"Jansson, W; Grafstrom, M; Winblad, B"
ISI:000071152500003,1997,"Wimo, A; Karlsson, G; Nordberg, A; Winblad, B"
ISI:000071446001144,1997,"Fallin, D; Kundtz, A; Town, T; Gauntlett, AC; Duara, R; Barker, W; Crawford, F; Mullan, M"
ISI:000071446001936,1997,"Crawford, F; Suo, ZM; Fang, CH; Frangione, B; Mullan, M"
ISI:000071494700002,1997,"Gibson, GE; Vestling, M; Zhang, H; Szolosi, S; Alkon, D; Lannfelt, L; Gandy, S; Cowburn, RF"
ISI:000071498600034,1998,"Jelic, V; Blomberg, M; Dierks, T; Basun, H; Shigeta, M; Julin, P; Jensen, M; Lannfelt, L; Winblad, B; Wahlund, LO"
ISI:000072004100022,1997,"Bergem, ALM; Lannfelt, L"
ISI:000072147700002,1998,"von Strauss, E; Fratiglioni, L; Jorm, AF; Viitanen, M; Winblad, B"
ISI:000072262900018,1997,"Sayi, JG; Patel, NB; Premkumar, DRD; Adem, A; Winblad, B; Matuja, WB; Mtui, EP; Gatere, S; Friedland, RP; Koss, E; Kalaria, RN"
ISI:000072267000019,1998,"Houlden, H; Crook, R; Backhovens, H; Prihar, G; Baker, M; Hutton, M; Rossor, M; Martin, JJ; Van Broeckhoven, C; Hardy, J"
ISI:000072587900007,1998,"Pei, JJ; Gong, CX; Iqbal, K; Grundke-Iqbal, I; Wu, QL; Winblad, B; Cowburn, RF"
ISI:000072609300019,1998,"Crawford, F; Suo, ZM; Fang, CH; Mullan, M"
ISI:000072630000011,1997,"Johnston, JA; Lannfelt, L; Wiehager, B; O'Neill, C; Cowburn, RF"
ISI:000072653100004,1998,"Andreasen, N; Vanmechelen, E; Van de Voorde, A; Davidsson, P; Hesse, C; Tarvonen, S; Raiha, I; Sourander, L; Winblad, B; Blennow, K"
ISI:000072906800041,1998,"Crook, R; Verkkoniemi, A; Perez-Tur, J; Mehta, N; Baker, M; Houlden, H; Farrer, M; Hutton, M; Lincoln, S; Hardy, J; Gwinn, K; Somer, M; Paetau, A; Kalimo, H; Ylikoski, R; Poyhonen, M; Kucera, S; Haltia, M"
ISI:000072938100015,1998,"Lannfelt, L"
ISI:000072973100007,1998,"Aguero-Torres, H; Fratiglioni, L; Guo, ZC; Viitanen, M; Winblad, B"
ISI:000073240900255,1998,"Crawford, F; Suo, Z; Fang, C; Parker, T; Gold, M; Mullan, M"
ISI:000073240900673,1998,"Barker, W; Harwood, D; Bravo, M; Aguero, H; Greenfield, L; Hurwitz, D; Buchillon, D; St George-Hyslop, P; Mullan, M; Duara, R"
ISI:000073251600007,1998,"Kostulas, K; Crisby, M; Huang, WX; Lannfelt, L; Hagenfeldt, L; Eggertsen, G; Kostulas, V; Hillert, J"
ISI:000073290300003,1998,"Zhu, L; Viitanen, M; Guo, ZC; Winblad, B; Fratiglioni, L"
ISI:000073310400004,1998,"Kowalska, A; Wender, M; Lannfelt, L"
ISI:000073560100004,1998,"Reznik-Wolf, H; Machado, J; Haroutunian, V; DeMarco, L; Walter, GF; Goldman, B; Davidson, M; Johnston, JA; Lannfelt, L; Dani, SU; Friedman, E"
ISI:000073775500002,1998,"Fastbom, J; Forsell, Y; Winblad, B"
ISI:000073775500008,1998,"Julin, P; Almkvist, O; Basun, H; Lannfelt, L; Svensson, L; Winblad, B; Wahlund, LO"
ISI:000074060000006,1998,"Forsell, Y; Jorm, AF; Winblad, B"
ISI:000074179200006,1998,"Passare, G; Guo, ZC; Winblad, B; Fastbom, J"
ISI:000074289600058,1998,"Hutton, M; Lendon, CL; Rizzu, P; Baker, M; Froelich, S; Houlden, H; Pickering-Brown, S; Chakraverty, S; Isaacs, A; Grover, A; Hackett, J; Adamson, J; Lincoln, S; Dickson, D; Davies, P; Petersen, RC; Stevens, M; de Graaff, E; Wauters, E; van Baren, J; Hillebrand, M; Joosse, M; Kwon, JM; Nowotny, P; Che, LK; Norton, J; Morris, JC; Reed, LA; Trojanowski, J; Basun, H; Lannfelt, L; Neystat, M; Fahn, S; Dark, F; Tannenberg, T; Dodd, PR; Hayward, N; Kwok, JBJ; Schofield, PR; Andreadis, A; Snowden, J; Craufurd, D; Neary, D; Owen, F; Oostra, BA; Hardy, J; Goate, A; van Swieten, J; Mann, D; Lynch, T; Heutink, P"
ISI:000074292400009,1998,"Forsell, Y; Basun, H; Corder, EH; Lannfelt, L; Winblad, B"
ISI:000074522100019,1998,"Mangat, HS; Islam, A; Heigenskold, C; Mustafa, A; Winblad, B; Adem, A"
ISI:000074557300010,1998,"Torasdotter, M; Metsis, M; Henriksson, BG; Winblad, B; Mohammed, AH"
ISI:000074609200018,1998,"Wimo, A; Witthaus, E; Rother, M; Winblad, B"
ISI:000074745500012,1998,"Crawford, F; Fallin, D; Suo, Z; Abdullah, L; Gold, M; Gauntlett, A; Duara, R; Mullan, M"
ISI:000074749400533,1998,"Leuba, G; Savioz, A; Lannfelt, L; Forsell, C; Lilius, L; Saini, K"
ISI:000074784000024,1998,"Kurumatani, T; Fastbom, J; Bonkale, WL; Bogdanovic, N; Winblad, B; Ohm, TG; Cowburn, RF"
ISI:000074872900010,1998,"Pei, JJ; Grundke-Iqbal, I; Iqbal, K; Bogdanovic, N; Winblad, B; Cowburn, RF"
ISI:000074872900020,1998,"Islam, A; Ayer-LeLievre, C; Heigenskold, C; Bogdanovic, N; Winblad, B; Adem, A"
ISI:000075125700009,1998,"Berger, AK; Small, BJ; Forsell, Y; Winblad, B; Backman, L"
ISI:000075127600012,1998,"Paris, D; Parker, TA; Town, T; Suo, ZM; Fang, CH; Humphrey, J; Crawford, F; Mullan, M"
ISI:000075207700419,1998,"Garbarg, M; Lannfelt, L; Blomberg, M; Wahlund, LO; Freedman, SB; Schwartz, C"
ISI:000075236000020,1998,"Eriksson, C; Winblad, B; Schultzberg, M"
ISI:000075287200008,1998,"Seery, JP; Bryant, DJ; Jenkinson, G; Schwieso, JE; Houlden, HJ; Changani, KK; Hodgson, HJF; Taylor-Robinson, SD"
ISI:000075360000004,1998,"Wang, HX; Ericsson, K; Winblad, B; Fratiglioni, L"
ISI:000075543200006,1998,"Town, T; Paris, D; Fallin, D; Duara, R; Barker, W; Gold, M; Crawford, F; Mullan, M"
ISI:000075584300003,1998,"Jonhagen, ME; Nordberg, A; Amberla, K; Backman, L; Ebendal, T; Meyerson, B; Olson, L; Seiger, A; Shigeta, M; Theodorsson, E; Viitanen, M; Winblad, B; Wahlund, LO"
ISI:000075591500044,1998,"Hansebo, G; Kihlgren, M; Ljunggren, G; Winblad, B"
ISI:000076035000007,1998,"Yamada, H; Dahl, ML; Lannfelt, L; Viitanen, M; Winblad, B; Sjoqvist, F"
ISI:000076191600003,1998,"Aguero-Torres, H; Fratiglioni, L; Guo, ZC; Viitanen, M; von Strauss, E; Winblad, B"
ISI:000076198300006,1998,"Jelic, V; Dierks, T; Amberla, K; Almkvist, O; Winblad, B; Nordberg, A"
ISI:000076198600016,1998,"Zhu, L; Fratiglioni, L; Guo, ZC; Aguero-Torres, H; Winblad, B; Viitanen, M"
ISI:000076230100039,1998,"Corder, EH; Robertson, K; Lannfelt, L; Bogdanovic, N; Eggertsen, G; Wilkins, J; Hall, C"
ISI:000076241100013,1998,"Islam, A; Kalaria, RN; Winblad, B; Adem, A"
ISI:000076316300013,1998,"Gibson, GE; Zhang, H; Sheu, KFR; Bogdanovich, N; Lindsay, JG; Lannfelt, L; Vestling, M; Cowburn, RF"
ISI:000076336600007,1998,"Corder, EH; Lannfelt, L; Bogdanovic, N; Fratiglioni, L; Mori, H"
ISI:000076367800013,1998,"Suo, ZM; Tan, J; Placzek, A; Crawford, F; Fang, CH; Mullan, M"
ISI:000076540400031,1998,"Crawford, F; Soto, C; Suo, ZM; Fang, CH; Parker, T; Sawar, A; Frangione, B; Mullan, M"
ISI:000076573800057,1998,"Corder, E; Lannfelt, L; Mulder, M"
ISI:000076634300009,1998,"Guo, ZC; Wills, P; Viitanen, M; Fastbom, J; Winblad, B"
