Publication Number,Title,Claims
WO2007098548A8,A MOLECULE AND CHIMERIC MOLECULES THEREOF ,
WO2007149493A3,RESTORATION OF HEARING LOSS ,
WO2002013760A3,METHODS AND COMPOSITIONS FOR THE REPAIR AND/OR REGENERATION OF DAMAGED MYOCARDIUM ,
WO2007081204A3,"NUCLEIC ACID MOLECULES AND COLLECTIONS THEREOF, THEIR APPLICATION AND MODIFICATION ",
WO2002022788A1,METHOD OF CULTURING MESENCHYMAL STEM CELLS ,
WO2006047569A3,METHODS OF EXPANDING MYELOID CELL POPULATIONS AND USES THEREOF ,
WO2009050657A3,GENETICALLY MODIFIED STEM CELLS AND METHODS FOR IDENTIFYING TISSUES DIFFERENTIATED THEREFROM ,
WO2001090315A3,PRODUCTION OF NEURONS FROM STEM CELLS ,
WO1998058958A9,"HUMAN JAGGED POLYPEPTIDE, ENCODING NUCLEIC ACIDS AND METHODS OF USE ",
WO2008073316A3,IDENTIFICATION AND ISOLATION OF ACUTE MYELOID LEUKEMIA STEM CELLS ,
WO2008042174A3,MESENCHYMAL STEM CELLS AND USES THEREFOR ,
WO2005026342A9,"METHODS OF MODULATING BONE GROWTH, BONE REMODELING AND ADIPOSITY ",
WO2004014407A1,REMEDY ,
WO2008030538A3,CANCER STEM CELL-TARGETED CANCER THERAPY ,
WO2001068804A8,"NUCLEIC ACID SEQUENCES ASSOCIATED WITH AGING, PARTICULARLY SKIN AGING ",
WO2005104988A3,OSTEOGENIC IMPLANTS WITH IMPROVED OSTEOINTEGRATION PROPERTIES ,
WO2010085588A3,MODULATING ANGIOGENESIS ,
WO2008012828A3,COMPOSITE IMPLANTS FOR PROMOTING BONE REGENERATION AND AUGMENTATION AND METHODS FOR THEIR PREPARATION AND USE ,
WO2007062243A3,SERUM-FREE EXPANSION OF CELLS IN CULTURE ,
WO2009122747A1,METHOD FOR PREPARATION OF PLATELET FROM IPS CELL ,
WO2008057233A3,MODELS OF ERYTHROPOIESIS ,
WO2010030666A3,ELIMINATION OF A CONTAMINATING NON-HUMAN SIALIC ACID BY METABOLIC COMPETITION ,
WO2003068959A1,NOVEL SCREENING METHOD ,
WO2009087110A8,SECRETABLE HIV ENTRY INHIBITORY PEPTIDES FOR THERAPY OF HIV INFECTION ,
WO2003078588A3,PRIMITIVE AND PROXIMAL HEPATIC STEM CELLS ,
WO2005000245A3,COMPOSITIONS AND METHODS FOR INCREASING TELOMERASE ACTIVITY ,
WO2009078333A1,RÉACTEUR POUR CULTURE CELLULAIRE ET PROCÉDÉ DE PRODUCTION ,
WO2008030616A3,MONITORING CANCER STEM CELLS ,
WO2000030668A9,USE OF PARVOVIRUS CAPSID PARTICLES IN THE INHIBITION OF CELL PROLIFERATION AND MIGRATION ,
WO2003004047A1,CELL DEATH INDUCERS FOR MAST CELLS ,
WO2008055224A3,LITHIUM STIMULATION OF CORD BLOOD STEM CELL PROLIFERATION AND GROWTH FACTOR PRODUCTION ,
WO2010054328A3,COMPOSITIONS AND METHODS FOR THE INHIBITION OF CRIPTO/GRP78 COMPLEX FORMATION AND SIGNALING ,
WO2009146098A3,STEM CELLS AND USES THEREOF ,
WO2003038070A1,BASE MATERIAL FOR CULTURING EMBRYO STEM CELLS AND CULTURE METHOD ,
WO2007136673A3,TREATMENT OF DISC DEGENERATIVE DISEASE AND COMPOSITIONS FOR SAME ,
WO2010065957A3,VASCULARIZED LIVING SKIN CONSTRUCTS AND METHODS OF USE THEREOF ,
WO2004078917A3,EXPANSION OF RENEWABLE STEM CELL POPULATIONS USING MODULATORS OF PI 3-KINASE ,
WO2007084609A3,POROUS OSTEOIMPLANT ,
WO2008021431A3,METHODS AND COMPOSITIONS FOR DIAGNOSING AND MONITORING THE STATUS OF TRANSPLANT REJECTION AND IMMUNE DISORDERS ,
WO2009072635A1,METHOD FOR AMPLIFYING HEMATOPOIETIC STEM CELLS USING HETEROCYCLIC COMPOUND ,
WO2006056633A1,CLONACIÓN CELULAR A PARTIR DE CÉLULAS GERMINALES ,
WO2009007618A3,TUMOUR-CELL-FIXING CELLS ,
WO2010036373A3,HEMATOPOIETIC STEM CELL GROWTH FACTOR ,
WO2008036209A3,CELL DELIVERY MATRICES ,
WO2008039483A3,MODIFIED SELF-ASSEMBLING PEPTIDES ,
WO2010053522A3,METHODS FOR IDENTIFYING AND PRODUCING NEURAL STEM AND PROGENITOR CELLS AND THEIR PROGENY ,
WO2005021728A3,"ENRICHED PANCREATIC STEM CELL AND PROGENITOR CELL POPULATIONS, AND METHODS FOR IDENTIFYING, ISOLATING AND ENRICHING FOR THESE POPULATIONS ",
WO2006087233A3,RELEASE OF EXTRACELLULAR MEMBRANE PARTICLES CARRYING THE STEM CELL MARKER PROMININ-1 (CD133) FROM NEURAL PROGENITORS AND OTHER EPITHELIAL CELLS ,
WO2005063968A1,BASAL MEDIUM FOR ES CELL CULTURING ,
WO2009028870A3,"COMPOSITION FOR THE DIAGNOSIS, PREVENTION OR TREATMENT OF DISEASES RELATED TO CELLS EXPRESSING IL-8 OR GRO-ALPHA, COMPRISING UCB-MSCS ",
WO2001098358A9,COMPOSITIONS FOR IDENTIFICATION AND ISOLATION OF STEM CELLS ,
WO2002051980A3,IN VITRO-DERIVED ADULT PLURIPOTENT STEM CELLS AND USES THEREFOR ,
WO1993003061A1,HEMATOPOIETIC STEM CELL MULTIPLIER ,
WO2000033791A3,"CO-FACTORS FOR TROPHIC FACTORS, AND METHODS OF USE THEREOF ",
WO2003029432A3,HUMAN MESENCHYMAL PROGENITOR CELL ,
WO1999049014A9,LOCALIZATION AND PROPAGATION OF NEURAL AND NEURONAL PROGENITOR CELLS ,
WO2006085590A1,TetR EXPRESSING NON-HUMAN TRANSGENIC ANIMAL AND METHOD FOR PRODUCING THE SAME ,
WO2007075525A3,COMBINATION OF AN IAP-INHIBITOR AND A TAXANE7 ,
WO2003029405A3,METHODS AND MATERIALS RELATING TO STEM CELL GROWTH FACTOR-LIKE POLYPEPTIDES AND POLYNUCLEOTIDES ,
WO2007098484A8,HIGH-YIELD ACTIVATION OF POLYMER SURFACES FOR COVALENT ATTACHMENT OF MOLECULES ,
WO2008006605A3,A NOVEL POPULATION OF MULTIPOTENT CARDIAC PRECURSOR CELLS DERIVED FROM HUMAN BLASTOCYSTS DERIVED STEM CELLS ,
WO2005044179A3,FORMULATIONS CONTAINING ASTRAGALUS EXTRACTS AND USES THEREOF ,
WO2009054128A1,METHOD FOR EFFICIENT PRODUCTION OF MONOCYTE-DERIVED MULTIPOTENT CELL (MOMC) ,
WO2005100549A1,METHOD OF PROLIFERATING ORGAN-SPECIFIC STEM CELL AND PROLIFERATION APPARATUS THEREFOR ,
WO2009108866A3,MICRORNA SIGNATURES ASSOCIATED WITH CYTOGENETICS AND PROGNOSIS IN ACUTE MYELOID LEUKEMIA (AML) AND USES THEREOF ,
WO2009031035A3,BIORESORBABLE KNIT ,
WO2006110110A8,TISSUE CONSTRUCT AND METHOD THEREOF ,
