id,Publication Number,Title,PriorityNumber,Priority Date,INPADOC Family ID,Inventor - w/address,INPADOC Family Members,Citing Patents,Cited Refs - Patent,Assignee - Original w/address,Priority Country,url,text
16,WO2006132855A2,"METHODES DESTINEES A LA MODULATION DU DEVELOPPEMENT OSTEO-CARTILAGINEUX, DANS LESQUELLES EST UTILISEE UNE THERAPIE PAR CHAMP ELECTROMAGNETIQUE PULSE ",US2005687430P | US2005693490P | US2006790128P | WO2006US20819A,2005,20061214AU2006255660A1,"KRONBERG James W.,US | GANEY Timothy,US | GORDON Stephen L.,US",AU2006255660A1 | BRPI0611082A2 | CA2610737A1 | CN101237904A_ | EA200702644A1 | EP1888162A2 | EP1888162A4 | IL187744D0 | IL202632D0 | JP2008541938A_ | KR2008027325A_ | US20060293724A1 | US20080039901A1 | US7840272B2 | WO2006132855A2 | WO2006132855A3 | WO2008153520A1,,US20040210282A1 | US20040267333A1 | US20050049640A1 | US20050084962A1,"HEALTHONICS INC.,US",US,"http://www.google.com/patents?q=METHODES+DESTINEES+A+LA+MODULATION+DU+DEVELOPPEMENT+OSTEO-CARTILAGINEUX,+DANS+LESQUELLES+EST+UTILISEE+UNE+THERAPIE+PAR+CHAMP+ELECTROMAGNETIQUE+PULSE+&btnG=Search+Patents",0
29,WO2008104161A1,ß-CARBOLINES FOR THE TREATMENT OF NEURODEGENERATIVE DISEASES ,DE102007009264A | WO2008DE332A,2007,20080828DE102007009264A1,"ROMMELSPACHER Hans,DE",DE102007009264A1 | EP2125812A1 | US20100143474A1 | WO2008104161A1,,DE1044821B | DE3240514A1 | DE4223164A1 | EP1634881A1 | EP667347A1 | GB2155462A | US2767179A | US2850501A | US3663559A,"ELLNEUROXX LTD.,DE | ROMMELSPACHER Hans,DE",DE,http://www.google.com/patents?q=ß-CARBOLINES+FOR+THE+TREATMENT+OF+NEURODEGENERATIVE+DISEASES+&btnG=Search+Patents,0
37,WO2004048520A2,"REDD1, A TRANSCRIPTIONAL TARGET OF P63 AND P53, AND METHODS OF USE THEREFOR __ ",US2002428331P | WO2003US37320A,2002,20040610WO2004048520A2,"ELLISEN Leif W.,US | HABER Daniel A.,US",AU2003291136A1 | AU2003291136A8 | WO2004048520A2 | WO2004048520A3,GB2450840B,WO2002046465A2,"THE GENERAL HOSPITAL CORPORATION,US | ELLISEN Leif W.,US | HABER Daniel A.,US",US,"http://www.google.com/patents?q=REDD1,+A+TRANSCRIPTIONAL+TARGET+OF+P63+AND+P53,+AND+METHODS+OF+USE+THEREFOR+__+&btnG=Search+Patents",0
42,WO2007062466A1,DEMIBODIES: DIMERISATION-ACTIVATED THERAPEUTIC AGENTS ,US2005741030P | AU2006901059A | WO2006AU1810A,2005,20070607AU2006319746A1,"CHRISTOPHERSON Richard Ian,AU | MATTHEWS Jacqueline Mary,AU | MACKAY Joel Peter,AU",AU2006319746A1 | EP1962961A1 | EP1962961A4 | JP2009517408A_ | US20090130106A1 | WO2007062466A1,,US5837242A | US5985276A | US6129914A | WO1995009917A1,"UNIVERSITY OF SYDNEY,AU | CHRISTOPHERSON Richard Ian,AU | MATTHEWS Jacqueline Mary,AU | MACKAY Joel Peter,AU",US | AU,http://www.google.com/patents?q=DEMIBODIES:+DIMERISATION-ACTIVATED+THERAPEUTIC+AGENTS+&btnG=Search+Patents,0
51,WO2004106291A1,"HALOETHYL UREA COMPOUNDS AND THE USE THEREOF TO ATTENUATE, INHIBIT OR PREVENT CANCER CELL MIGRATION ",US2003474074P | WO2004CA771A,2003,20041209CA2568607A1,"GAUDREAULT Rene C.,CA",CA2568607A1 | WO2004106291A1,,CA2116621C | DE2223751A1 | DE2806213A1 | US4803223A | US5530026A | US5750547A,"IMOTEP INC.,CA",US | CA,"http://www.google.com/patents?q=HALOETHYL+UREA+COMPOUNDS+AND+THE+USE+THEREOF+TO+ATTENUATE,+INHIBIT+OR+PREVENT+CANCER+CELL+MIGRATION+&btnG=Search+Patents",0
62,WO2010030986A2,CLEAN GENOME BACTOFECTION ,US200896649P | WO2009US56829A,2008,20100318WO2010030986A2,"BLATTNER Frederick R.,US | BURLAND Val,US | LANDRY Charles,US | SHI Nian-Qing,US | STAHL Buffy,US",WO2010030986A2 | WO2010030986A3,,WO2003070880A2 | WO2007024756A2 | WO2007118162A1 | WO2008017073A2,"SCARAB GENOMICS LLC,US | BLATTNER Frederick R.,US | BURLAND Val,US | LANDRY Charles,US | SHI Nian-Qing,US | STAHL Buffy,US",US,http://www.google.com/patents?q=CLEAN+GENOME+BACTOFECTION+&btnG=Search+Patents,0
91,WO2010030666A3,ELIMINATION OF A CONTAMINATING NON-HUMAN SIALIC ACID BY METABOLIC COMPETITION ,US200895414P | WO2009US56361A,2008,20100318WO2010030666A2,"VARKI Ajit,US | DIAZ Sandra,US | TAYLOR Rachel,US",WO2010030666A2 | WO2010030666A3,,WO2002088351A1 | WO2006133356A2,"THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,US | VARKI Ajit,US | DIAZ Sandra,US | TAYLOR Rachel,US",US,http://www.google.com/patents?q=ELIMINATION+OF+A+CONTAMINATING+NON-HUMAN+SIALIC+ACID+BY+METABOLIC+COMPETITION+&btnG=Search+Patents,0
109,WO2009078333A1,RÉACTEUR POUR CULTURE CELLULAIRE ET PROCÉDÉ DE PRODUCTION ,JP2007323658A | WO2008JP72521A,2007,20090625WO2009078333A1,"HASHIMOTO Takeshi,JP | AKASAKA Tsukasa | YOKOYAMA Atsuro | WATARI Fumio",JP2009142218A_ | US20100273263A1 | WO2009078333A1,,JP2000086219A,"MEIJO NANO CARBON CO. LTD.,JP | HASHIMOTO Takeshi,JP | AKASAKA Tsukasa | YOKOYAMA Atsuro | WATARI Fumio",JP,http://www.google.com/patents?q=RÉACTEUR+POUR+CULTURE+CELLULAIRE+ET+PROCÉDÉ+DE+PRODUCTION+&btnG=Search+Patents,0
124,WO2010051127A2,HEMATOPOIETIC PROTECTION AGAINST IONIZING RADIATION USING SELECTIVE CYCLIN-DEPENDENT KINASE 4/6 INHIBITORS ,US2008101824P | WO2009US59254A,2008,20100506WO2010051127A2,"SHARPLESS Norman E.,US | TORRICE Chad D.,US | RAMSEY Matthew R.,US | JOHNSON Soren,US | BELL Jessica F.,US",WO2010051127A2 | WO2010051127A9,,,"THE UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,US | SHARPLESS Norman E.,US | TORRICE Chad D.,US | RAMSEY Matthew R.,US | JOHNSON Soren,US | BELL Jessica F.,US",US,http://www.google.com/patents?q=HEMATOPOIETIC+PROTECTION+AGAINST+IONIZING+RADIATION+USING+SELECTIVE+CYCLIN-DEPENDENT+KINASE+4/6+INHIBITORS+&btnG=Search+Patents,0
135,WO2008128982A1,THIOXOQUINAZOLINONE DERIVATIVES AS GLUTAMINYL CYCLASE INHIBITORS ,US2007912540P | WO2008EP54711A,2007,20081030US20080267911A1,"BUCHHOLZ Mirko,DE | HEISER Ulrich,DE",EP2160389A1 | JP2010524894A_ | US20080267911A1 | WO2008128982A1,,WO2003053958A1 | WO2004098591A2 | WO2005075436A2,"PROBIODRUG AG,DE | BUCHHOLZ Mirko,DE | HEISER Ulrich,DE",US | EP,http://www.google.com/patents?q=THIOXOQUINAZOLINONE+DERIVATIVES+AS+GLUTAMINYL+CYCLASE+INHIBITORS+&btnG=Search+Patents,0
