ID,Authors
1,"Djordjevic M., Djordjevic M."
2,"Church G.M., Gao Y., Kosuri S."
3,Suki B.
4,Mori H.
5,Rampelotto P.H.
6,"Komatsu M., Ikeda O."
7,Itaya K.T.-E.-M.
8,Lasken R.S.
9,"Schwartz J.J., Lee C., Shendure J."
10,"Patel A., Barrington S., Lefsrud M."
11,"Hammer D.A., Kamat N.P."
12,"El-Sagheer A.H., Brown T."
13,"Johnson D.B.F., Wang C., Xu J., Schultz M.D., Schmitz R.J., Ecker J.R., Wang L."
14,"Kuznetsov S., Taylor A.S., Regan T., Villar N., Paulos E."
15,"Liss M., Daubert D., Brunner K., Kliche K., Hammes U., Leiherer A., Wagner R."
16,"Valentine A.J., Kleinert A., Verdier J."
17,"Wise K.S., Calcutt M.J., Foecking M.F., Madupu R., DeBoy R.T., Roske K., Hvinden M.L., Martin T.R., Scott Durkin A., Glass J.I., Methee B.A."
18,"Ma S., Tang N., Tian J."
19,"Auslander D., Fussenegger M."
20,"Cheng A.A., Lu T.K."
21,"Neuzil P., Giselbrecht S., Lange K., Huang T.J., Manz A."
22,"Feher T., Burland V., Posfai G."
23,"Karr J.R., Sanghvi J.C., MacKlin D.N., Gutschow M.V., Jacobs J.M., Bolival Jr. B., Assad-Garcia N., Glass J.I., Covert M.W."
24,"Liu Y., Han Y., Huang W., Duan Y., Mou L., Jiang Z., Fa P., Xie J., Diao R., Chen Y., Ye Y., Yang R., Chen J., Sun X., Li Z., Tang A., Gui Y., Cai Z."
25,"Chiarabelli C., Stano P., Anella F., Carrara P., Luisi P.L."
26,Danchin A.
27,"Schmidt M., De Lorenzo V."
28,"Kepes F., Jester B.C., Lepage T., Rafiei N., Rosu B., Junier I."
29,"Menolascina F., Siciliano V., Di Bernardo D."
30,"Anderson J., Strelkowa N., Stan G.-B., Douglas T., Savulescu J., Barahona M., Papachristodoulou A."
31,"Duda V.I., Suzina N.E., Polivtseva V.N., Boronin A.M."
32,"Chuang L., Chang H.-W., Tsai J., Yang C."
33,"Quo C.F., Kaddi C., Phan J.H., Zollanvari A., Xu M., Wang M.D., Alterovitz G."
34,"Ohtani N., Hasegawa M., Sato M., Tomita M., Kaneko S., Itaya M."
35,"Dymond J., Boeke J."
