date,author,title,text
2011,adams  robin s  daly  shanna r  mann  llewellyn m  dall alba  gloria.,being a professional  three lenses into design thinking  acting  and being.,this paper presents three lenses for interpreting design thinking  a framework on learning to become professionals  and two interpretations of this framework that speak broadly to aspects of  design thinking . the first lens draws on a framework for  an embodied understanding of professional practice  and provides a way to describe how professionals form and organize their knowledge and skills into a particular  professional-way-of-being . the second and third lenses provide examples of using this framework to interpret existing results from phenomenographic studies on ways of experiencing design and ways of experiencing cross-disciplinary practice. we conclude with a discussion of how these three lenses contribute to a working synthesis of design thinking and learning. (author abstract)
1990,akin  omer.,necessary conditions for design expertise and creativity,understanding the nature of design ability can better enable design educators to nurture its development in their students. such understanding has been promoted by a wide variety of studies of design activity and design behavior. from a review of these studies  design ability is summarised as comprising resolving ill-defined problems  adopting solution-focused cognitive strategies  employing abductive or appositional thinking and using non-verbal modelling media. these abilities are highly developed in skilled designers  but are also possessed in some degree by everyone. a case is therefore made for design ability as a fundamental form of human intelligence. the nurture of this ability through design education is discussed  with particular reference to the problem of providing design education through the distance-learning media of the open university.
2009,alexiou  k  zamenopoulos  t  johnson  j h  gilbert  s j.,exploring the neurological basis of design cognition using brain imaging  some preliminary results .,the paper presents a pilot interdisciplinary research study carried out as a step towards understanding the neurological basis of design thinking. the study involved functional magnetic resonance imaging (fmri) of volunteers while performing design and problem-solving tasks. the findings suggest that design and problem solving involve distinct cognitive functions associated with distinct brain networks. the paper introduces the methodology  presents the findings  and discusses the potential role of brain imaging in design research. (author abstract)
2007,alizon  fabrice  shooter  steven b  simpson  timothy w.,improving an existing product family based on commonality diversity  modularity  and cost,as product life cycles become shorter and shorter  stakes are higher in terms of sales and profits  making it an imperative for companies to enhance existing product families as much as possible. in this paper  a methodology using the design structure matrix flow  value analysis  and the commonality versus diversity index is proposed to improve an existing family of products. these tools assess and improve commonality diversity trade-off within the family  feature satisfaction through design  and definition of new modules components and their interfaces. a case study based on a family of refrigerators is detailed in this paper to demonstrate the methodology. (author abstract)
2009,alizon  fabrice  shooter  steven b  simpson  timothy w.,henry ford and the model t  lessons for product platforming and mass customization.,henry ford is recognized as the father of mass production  but his contributions extend well beyond that  offering valuable lessons for product platforming and mass customization. in this paper  we study ford s model t and its many variants in depth and describe insights into ford s vision and his car. in particular  we examine how the platform was built  leveraged and dynamically maintained with continuous improvements to maximize learning and economies of scale. finally  we compare ford s approach to more current approaches for platforming and mass customization. october 2008 marked the 100-year anniversary of the introduction of the model t. in some aspects this old car still outperforms us  and we can learn valuable lessons from its past to avoid future mistakes and improve current practices. (author abstract)
2008,amitani  shigeki  bilda  zafer  edmonds  ernest.,our content  generative montage methods for multimedia data.,the concept underlying the research reported in this paper is that of a semi-automatic system with which groups of distributed users interact  primarily by exchanging multimedia data such as short sound recordings  photographs or video clips taken with mobile phones. the generative website is a place where the public can post their own contents such as articles and videos  and then the website generates possible and meaningful sequences of that data by combining the content provided in an interesting and stimulating way. the paper describes the interaction concept  the algorithms for the generative website and an implementation. an evaluation of user experience with the prototype system is also presented. the overall aim of this research is to design and develop methods for interactive generative systems as stimulants to human creativity and it is claimed that this aim is advanced by the research reported. (author abstract)
2010,baker  alex  van der hoek  andrÃ©.,ideas  subjects  and cycles as lenses for understanding the software design process.,in this paper  we provide an analysis of three pairs of professional software designers  each working on a provided design problem. to understand these sessions  we track the ideas that were generated  relate them to one another  and categorize them according to the subject being discussed. this data is then used to divide the sessions into design cycles  each of which represents a period of focus on a given aspect of the system being designed. we observe that the designers often consider two subjects at a time  and rotate through subjects in an effort to develop them evenly. the sessions are also characterized by a great deal of repetition  as the designers regularly reconsider previously stated ideas in new contexts. (author abstract)
2009,ball  linden j  christenen  bo t.,analogical reasoning and mental simulation in design  two strategies linked to uncertainty resolution.,this paper aims to further an understanding of the nature and function of analogising and mental simulation in design through an analysis of the transcripts of two engineering design meetings. analogies were coded for  purpose  and in terms of whether they were within-domain or between-domain. mental simulations were coded for  focus   technical functional or end-user. all expressions of uncertainty were also identified. analogies were found to be typically between-domain (indicative of innovative reasoning) and were evenly distributed across solution generation  function finding and explanation. mental simulations were predominantly technical functional. our most striking observation was that analogies and mental simulations were associated with conditions of uncertainty. we propose that analogising and mental simulation are strategies deployed to resolve uncertainty - a claim that is supported by the fact that uncertainty levels returned to baseline values at the end of analogising and simulation episodes. (author abstract)
2010,ball  linden j  onarheim  balder  christensen  bo t.,design requirements  epistemic uncertainty and solution development strategies in software design.,this paper investigates the potential involvement of epistemic uncertainty in mediating between complex design requirements and strategic switches in software design strategies. the analysis revealed that the designers produced an initial first-pass solution to the given design brief in a breadth-first manner  with this solution addressing several easy-to-handle requirements. the designers then focused on adding relatively complex-to-handle requirements to this initial solution in what appeared to be a depth-first manner  as reflected  for example  by detailed mental simulations that spanned many transcript segments. furthermore  such depth-first development of complex requirements was linked to increases in epistemic uncertainty  a finding that supports the predicted role of uncertainty in mediating between complex requirements and depth-first design. overall these findings support a view of software design as involving a mixed breadth-first and depth-first solution development approach  with strategic switching to depth-first design being triggered by requirement complexity and being mediated by associated feelings of uncertainty. (author abstract)
2006,barrios hernandez  carlos roberto.,thinking parametric design  introducing parametric gaudi,this paper presents an innovative methodology for parametric design called design procedures (dp) and shows how it is applied to the columns of the expiatory temple of the sagrada familia. design procedures are actions that generate parametric models where geometrical components are considered as variables. a brief introduction on parametric design is followed by illustrated explanations of the traditional forms of parametric models. design procedures is presented as an alternative to overcome the topological and geometrical limitations of traditional parametric models. the dp is able to generate all original designs by gaudi plus an infinite number of new designs. (author abstract)
2009,bates-brkljac  nada.,assessing perceived credibility of traditional and computer generated architectural representations .,this paper presents a study that investigated whether computer generated representations are perceived as more credible means of communicating design than traditional forms of representations. architects  other professionals  and elected members of the public assessed two computer-generated and two hand-drawn forms of representation using semantic differential scales. results show that computer generated photomontage is perceived as the most credible and perspective drawing and as the least credible form of representation. statistical analysis revealed a remarkable resemblance between the responses by the public and professionals and clear differences between these two groups and architects  perceptions. (author abstract)
1987,bayazit  nigal.,theoretical basis of a computer-aided design education and research laboratory,the paper considers some of the difficulties associated with incorporating finite element analysis within the total design process. a scenario for future computerized design incorporating the finite element analysis technique is presented and discussed. the feasibility of the scenario is demonstrated using an example from structural steelwork design. certain conclusions and comments are made regarding the effectiveness of seeking to computerize the design process.
1993,beheshti  reza.,design decisions and uncertainty,reports on a brief discussion of uncertainty in design situations. uncertainty is an inherent and unavoidable aspect of design decision-making writes the author. the goal is to minimize the influences of the uncertainty factor by increasing the number of structured sets of well defined design criteria and to successfully employ multicriteria decision analysis.
1989,bell  malcolm.,from 2d computer-aided draughting to 2d and 3d computer aided design,current developments in computer aided design (cad) have evolved largely through studies of tangible design objects - drawings  documents  models. this may not be an appropriate focus for research attention. the argument is presented here that more significant questions are raised when research is orientated towards the designer s own  self . failure to address questions other than those related only to machines within themselves will fast make cad research irrelevant to design.
1989,bell  malcolm.,from 2d computer-aided draughting to 2d and 3d computer-aided design,discusses current developments in computer-aided design (cad). the author proposes that research attention should focus more on the designer s `self  than the study of models  documents and drawings. if the question of design is only directed to machines  cad research will become irrelevant to design.
2011,berends  hans  reymen  isabelle  stultiÃ«ns  rutger g l  peutz  murk.,external designers in product design processes of small manufacturing firms.,small manufacturing firms often fail to reap the benefits of good design practices. this study investigates how the involvement of external designers influences the evolution of product design processes in small manufacturing firms. qualitative and quantitative process research methods were used to study 352 events in five joint product development projects. the findings show how these processes iterated between divergence and convergence and between goal setting and idea development. moreover  higher involvement of external designers was associated with more frequent iterations. the paper discusses the implications of these findings for theory on design processes and for design practice. (author abstract)
