date,author,title,text
2006,(interview by) hunter  lawrie.,critical form as everyday practice  an interview with ellen lupton,an interview with american curator  graphic designer and author ellen lupton  who runs the graphic design programme at maryland institute college of art in baltimore  maryland  usa. she discusses her company   design research writing   which she co-founded with abbott miller in 1985  and which involves experimental projects that combine theory  practice  writing and designing. lupton gives details of her education and career  and expands on the ideas on graphic design given in her books. topics covered include grids  design tools  typography and typefaces  education and globalism.
2006,(interview by) hunter  lawrie.,critical form as everyday practice  an interview with ellen lupton,an interview with american curator  graphic designer and author ellen lupton  who runs the graphic design programme at maryland institute college of art in baltimore  maryland. she discusses her company   design research writing   which she co-founded with abbott miller in 1985  and which involves experimental projects that combine theory  practice  writing and designing. lupton gives details of her education and career  and expands on the ideas on graphic design given in her books. topics covered include grids  design tools  typography and typefaces  education and globalism.
2005,(interview by) hunter  lawrie.,no reason not to link,an interview with american hypertext and hypermedia developer mark bernstein  founder and chief scientist of eastgate systems inc. topics bernstein discusses include eastgate s products  storyspace hypertext authoring tools and tinderbox  personal content management software  and the challenges of addressing the cultural divide between artists and scientists.
2006,(interview by) hunter  lawrie.,mental modelling in the creation of user profiles,an interview with american user interface designer rashmi sinha. a short introduction gives details of her education  career and current projects. in the interview  sinha discusses her career path  including her background in psychology and what she has learned from her studies and work. she talks about how she uses card sorting to understand semantic domains  and the kinds of analysis she does on card-sorting data. sinha explains free-listing  and comments on her modelling process. she touches on her role in developing a web-based research platform called mindcanvas. sinha also answers questions on how she balances theory and practice  how she prepares qualitative data for quantitative analysis  the methodology she uses to collect user data  and her work on the design of online communities based on the principles of social psychology.
2005,(interview by) hunter  lawrie.,life in the image world  towards a more critical practice in graphic design  an interview with rick poynor,interview with influential uk graphic design historian and writer  rick poynor  discussing his professional career  and his interest in graphic communication in society.
1994,adams  a  montague  m.,testing warning signs  conspicuity and discrimination,where there are conflicting views within a client body on the merits of an information design product  judicious testing may provide a way out of a difficult situation. the process of discussing and agreeing upon that testing may itself provide useful clarification of the brief. discusses the testing of how well some warning signs stand out and how well they can be discriminated from each other. a railway authority wanted to replace remote area signalmen with stationary warning boards  but the union objected to the original design. laboratory-based testing was used to answer questions about conspicuity and discriminability and to evaluate a proposed solution. original abstract.
2010,adams  austin  boersema  theo  mijksenaar  meijer.,warning symbology  difficult concepts may be successfully depicted with two-part signs.,symbol signs - signs without words - are often used to communicate safety or public information messages. the international organization for standardization (iso) provides standards iso 3864-1 and iso 3864-3 giving design principles for both graphical symbols and completed signs in the safety arena. the present study shows that for difficult signage circumstances a two-part sign  showing the desired and undesired circumstances with a tick and a cross  can be much more effective than the normal single-part sign provided for by these iso standards. the present study also suggests that iso s sign assessment methods could be efficiently combined and simplified. (author abstract)
2010,adams  austin  boersema  theo  mijksenaar  meijer.,warning symbology  difficult concepts may be successfully depicted with two-part signs,symbol signs -- signs without words -- are often used to communicate safety or public information messages. the international organization for standardization (iso) provides standards iso 3864-1 and iso 3864-3 giving design principles for both graphical symbols and completed signs in the safety arena. the present study shows that for difficult signage circumstances a two-part sign  showing the desired and undesired circumstances with a tick and a cross  can be much more effective than the normal single-part sign provided for by these iso standards. the present study also suggests that iso s sign assessment methods could be efficiently combined and simplified. adapted from the source document
1994,adams  austin  montague  mary.,testing warning signs  conspicuity and discrimination,discusses the ways in which warning signs are tested for visibility and effectiveness with reference to the work of the rail authority of new south wales  australia. the author describes the signs used  and analyses the authority s method of testing for conspicuity and discriminability  by inserting images onto copies of a photograph of a rail scene.
1989,adams  wim.,an ergonomical approach to bertin s method of graphically displaying multivariate data,this paper  first presented at the information design conference in december 1986  discusses bertin s method of displaying numerical data by means of an interactive graphical matrix. in the study the need for empirical verification of theoretical statements is stressed. the ergonomical approach is subdivided into three major stages  visual perception  motor operations and cognitive information processing. the subject of this paper is mainly restricted to the first stage of visual perception  which is elaborated through some psychophysical experiments concerning the shape and size of symbols that are suited to be used as matrix elements.
2002,akkok  m naci.,an overview of the unified modeling language and diagrammatic modeling language design in software engineering,the need to manage the immense complexity in software engineering makes tools and methods essential  and requires that they be designed in accordance with well-defined principles. surprisingly  there is yet no explicit body of knowledge for designing diagrammatic modeling languages (dmls)  despite the fact that they are used extensively as the primary conceptual modeling tools in software engineering. this paper provides an overview of the new and growing field of dml design that aims at compiling such a body of knowledge. the paper starts with relevant definitions and a brief introduction of the current de-facto standard dml of software engineering called the unified modeling language (uml)  and offers a short account of efforts and directions in dml design. (original abstract)
2009,akwera  gordon.,information design workbook  graphic approaches  solutions  and inspiration plus 30 case studies,book review abstract. information design workbook  graphic approaches  solutions  and inspiration plus 30 case studies. by kim baer. rockport publishers  inc.  2008  npp.  npr. (hardcover). isbn 13  9781592534104  isbn 10  1592534104. reviewed by gordon akwera. adapted from the source document.
