date,author,title,text
1971,troxel  donald e.,automated reading of the printed page,explains  ...the automated reading of the printed page resulting in a sequence of character codes which can be further processed to make the information available to a blind person in the form of grade ii braille  spelled speech  or synthesized speech. (author)
1971,osley  a s.,calligraphy--an aid to cartography?,reviews the life and career of sixteenth century cartographer gerardus mercator and  through samples of his work  isolates characteristics of his personal script to give calligraphic evidence of his authorship. (mb)
1971,cyrus  virginia j.,linguistic features of scribal spacing,relates the variations in scribal spacings found in hand-produced old english manuscripts to linguistic features of the text  including the syntactic structures as identified by immediate constituent analysis. (vj)
1971,yasuhara  makoto.,steps toward handwriting analysis and recognition,proposes an approach to the design of certain portions of a machine for the analysis and recognition of handwriting. measures the displacement  velocity  acceleration of handwriting movements  and the writing pressure of the pencil point. appendix and references. (vj)
1971,fontein  jan  hickman  money l.,the calligraphy of ch an and zen monks,discusses and includes examples of the highly individualized calligraphic styles which two sects of buddhist monks developed and which set a standard of excellence emulated by secular society. (vj)
1971,o hara  f m  jr.,the use of the hyphen in printing to indicate divided words,traces the development of the use of the hyphen in printing through the examination of incunabula and reproduction of manuscripts and incunabular printing. (vj)
1971,wrolstad  merald e.,visible language  the journal for research on the visual media of language expression,summarizes the problems with the title the journal of typographic research and the reasons for its change to visible language. reviews the role of writing  including vision  as the area of communication between the linguistic and graphic realms. (mb)
1971,cleland  donald l.,vocalism in silent reading,reports ...an investigation to determine the incidence of vocalism during silent reading by two groups of intermediate grade children  reading achievers and reading retardates. a general conclusion is that vocalism is a natural adjunct of the reading process and that at appropriate times all of us use it as a secondary sensory reinforcement. (author)
1972,fiering  norman s.,a reply to george steiner,a reply to an address by george steiner (see preceding abstracts.) on the shifting status of the book in our society.
1972,freeman  john.,a reply to george steiner,a reply to an address by george steiner on the topic of the changing status of books in our society (see preceding abstracts.).
1972,warren  leland e.,a reply to george steiner,it is difficult not to agree completely with steiner s views  not so much because of the evidence he presents  but rather because his rhetoric tempts us to see ourselves as individuals heroically clinging to the beloved book and its values after the crass world has passed them by (see preceding abstracts.). however  we must ask two questions  (1) doesn t steiner describe a somewhat idealized past and compare it with the worst of the present?  and (2) if things are indeed so bad and if we still value the book  is an assertion of elitism  a declaration that books and reading always have been and always must be for the few  the proper response to the situation? steiner s diagnosis may be right  and we may be forced into a world in which the book and its values are eclipsed. a kind of perverse individualism may tempt those with a passion for books to find some satisfaction in this.
