Publication Number,Priority Date,Inventor - w/address,Assignee - Original w/address
WO2003074691A1,2002-03-01 | 2003-02-28,"NAGAMUNE Teruyuki,JP | MIYAKE Jun 563 0026 | Osaka JP | MIYAKE Masato 563 0026 | Osaka JP | KATO Koichi 305 0046 | Ibaraki JP","NATIONAL INSTITUTE OF ADVANCED INDUSTRIAL SCIENCE AND TECHNOLOGY 100 0013 | Tokyo,JP"
WO2004026332A1,2002-09-18 | 2003-09-18,"KAUSHANSKY Kenneth,US | MACDONALD Brian R.,US","3-DIMENSIONAL PHARMACEUTICALS INC.,US"
WO2003095625A2,2002-05-13 | 2003-05-13,"KOBLISH Holly K.,US | MANTHEY Carl L.,US | MOLLOY Christopher J.,US | LU Tianbao,US | PARKS Daniel J.,US | LAFRANCE III Louis V.,US | MILKIEWICZ Karen L.,US | CARVER Ted,US | GRASBERGER Bruce L.,US","3-DIMENSIONAL PHARMACEUTICALS INC.,US | KOBLISH Holly K.,US | MANTHEY Carl L.,US | MOLLOY Christopher J.,US | LU Tianbao,US | PARKS Daniel J.,US | LAFRANCE III Louis V.,US | MILKIEWICZ Karen L.,US | CARVER Ted,US | GRASBERGER Bruce L.,US"
WO2005023834A2,2003-08-28 | 2004-08-13,"MACDONALD Brian R.,US | WEIS Jeffery Kenneth,US | YURKOW Edward John,US","3-DIMENSIONAL PHARMACEUTICALS INC.,US | MACDONALD Brian R.,US | WEIS Jeffery Kenneth,US | YURKOW Edward John,US"
WO2005002627A2,2003-07-03 | 2004-05-14 | 2004-06-16 | 2004-06-18,"SUBASINGHE Nalin,US | Khalil Ehab,US | ALI Farah,US | HUFNAGEL Heather Rae,US | BALLENTINE Shelley K.,US | TRAVINS Jeremy M.,US | LEONARD Kristi A.,US | BONE Roger F.,US","3-DIMENSIONAL PHARMACEUTICALS INC.,US | SUBASINGHE Nalin,US | Khalil Ehab,US | ALI Farah,US | HUFNAGEL Heather Rae,US | BALLENTINE Shelley K.,US | TRAVINS Jeremy M.,US | LEONARD Kristi A.,US | BONE Roger F.,US"
WO2005021063A2,2003-09-02 | 2004-08-27,"NUMAMOTO Michael J.,US | QUIJANO Rodolfo C.,US | TU Hosheng,US","3F THERAPEUTICS INC.,US"
WO2009050571A3,2007-10-19 | 2008-10-16,"MELANDRI Davide,IT | BONDIOLI Elena,IT | GIARDINO Roberto,IT | FINI Milena,IT","A.U.S.L. - AZIENDA UNITA' SANITARIA LOCALE DI CESENA,IT | ISTITUTO ORTOPEDICO RIZZOLI,IT | MELANDRI Davide,IT | BONDIOLI Elena,IT | GIARDINO Roberto,IT | FINI Milena,IT"
WO2009050571A2,2007-10-19 | 2008-10-16,"MELANDRI Davide,IT | BONDIOLI Elena,IT | GIARDINO Roberto,IT | FINI Milena,IT","A.U.S.L. - AZIENDA UNITA' SANITARIA LOCALE DI CESENA,IT | ISTITUTO ORTOPEDICO RIZZOLI,IT | MELANDRI Davide,IT | BONDIOLI Elena,IT | GIARDINO Roberto,IT | FINI Milena,IT"
WO2000030675A2,1998-11-25 | 1999-11-25,"ERIKSSON Peter,SE","A+ SCIENCE INVEST AB,SE"
WO2000042202A1,1999-01-15 | 2000-01-14,"ERIKSSON Peter,SE | ORWAR Owe,SE","A+ SCIENCE INVEST AB,SE"
